Alytes obstetricans
Bufo bufo
Triturus cristatus
Amietia hymenopus
Sylvia atricapilla
Cyanistes caeruleus
Corvus corone
Phylloscopus collybita
Streptopelia decaocto
Carduelis carduelis
Parus major
Branta bernicla hrota
Emberiza schoeniclus
Acrocephalus scirpaceus
Erithacus rubecula
Turdus philomelos
Columba oenas
Streptopelia turtur
Columba palumbus
Hypoplectrus puella
Anguilla anguilla
Chaetodon capistratus
Emberiza citrinella
Halichoeres garnoti
Rhynchophorus phoenicis
Portunus segnis
Crangon crangon
Diploptera punctata
Cinachyrella sp.
Amblyomma rotundatum
Apis mellifera
Spheciospongia vesparium
Glossina fuscipes
Ircinia campana
Myodes glareolus
Sapajus libidinosus
Diceros bicornis michaeli
Crocidura russula
Sciurus carolinensis
Erinaceus europaeus
Rhinolophus hipposideros
Brachyteles hypoxanthus
Sorex minutus
Cervus elaphus
Sciurus vulgaris
Capreolus capreolus
Apodemus agrarius
Equus caballus
Apodemus sylvaticus
Apodemus flavicollis
