Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
Alytes-1,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-13,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-14,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-15,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-16,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-2,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-3,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-4,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-5,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-6,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Alytes-7,Alytes obstetricans,Common midwife toad,Amphibian,Unknown,Captive,"London Zoo, UK",Captive,2015,Frozen at -20C,Skin swab,Qiagen DNEasy kit,Freshwater
Bufo-A1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-A2,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-M1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-S3,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-S6,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-T1-1,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-T1-2,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
Bufo-T1-3,Bufo bufo,Common toad,Amphibian,Juvenile,Wild,Norway,Norway,2009,70% ethanol,Whole tadpole,Phenol chlorophorm,Freshwater
